date,day,month,year,week,quarter,month_name,year_month
2021-10-06,6,10,2021,40,4,October,2021-10
2021-10-07,7,10,2021,40,4,October,2021-10
2021-10-08,8,10,2021,40,4,October,2021-10
2021-10-09,9,10,2021,40,4,October,2021-10
2021-10-10,10,10,2021,40,4,October,2021-10
2021-10-11,11,10,2021,41,4,October,2021-10
2021-10-12,12,10,2021,41,4,October,2021-10
2021-10-13,13,10,2021,41,4,October,2021-10
2021-10-14,14,10,2021,41,4,October,2021-10
2021-10-15,15,10,2021,41,4,October,2021-10
2021-10-16,16,10,2021,41,4,October,2021-10
2021-10-17,17,10,2021,41,4,October,2021-10
2021-10-18,18,10,2021,42,4,October,2021-10
2021-10-19,19,10,2021,42,4,October,2021-10
2021-10-20,20,10,2021,42,4,October,2021-10
2021-10-21,21,10,2021,42,4,October,2021-10
2021-10-22,22,10,2021,42,4,October,2021-10
2021-10-23,23,10,2021,42,4,October,2021-10
2021-10-24,24,10,2021,42,4,October,2021-10
2021-10-25,25,10,2021,43,4,October,2021-10
2021-10-26,26,10,2021,43,4,October,2021-10
2021-10-27,27,10,2021,43,4,October,2021-10
2021-10-28,28,10,2021,43,4,October,2021-10
2021-10-29,29,10,2021,43,4,October,2021-10
2021-10-30,30,10,2021,43,4,October,2021-10
2021-10-31,31,10,2021,43,4,October,2021-10
2021-11-01,1,11,2021,44,4,November,2021-11
2021-11-02,2,11,2021,44,4,November,2021-11
2021-11-03,3,11,2021,44,4,November,2021-11
2021-11-04,4,11,2021,44,4,November,2021-11
2021-11-05,5,11,2021,44,4,November,2021-11
2021-11-06,6,11,2021,44,4,November,2021-11
2021-11-07,7,11,2021,44,4,November,2021-11
2021-11-08,8,11,2021,45,4,November,2021-11
2021-11-09,9,11,2021,45,4,November,2021-11
2021-11-10,10,11,2021,45,4,November,2021-11
2021-11-11,11,11,2021,45,4,November,2021-11
2021-11-12,12,11,2021,45,4,November,2021-11
2021-11-13,13,11,2021,45,4,November,2021-11
2021-11-14,14,11,2021,45,4,November,2021-11
2021-11-15,15,11,2021,46,4,November,2021-11
2021-11-16,16,11,2021,46,4,November,2021-11
2021-11-17,17,11,2021,46,4,November,2021-11
2021-11-18,18,11,2021,46,4,November,2021-11
2021-11-19,19,11,2021,46,4,November,2021-11
2021-11-20,20,11,2021,46,4,November,2021-11
2021-11-21,21,11,2021,46,4,November,2021-11
2021-11-22,22,11,2021,47,4,November,2021-11
2021-11-23,23,11,2021,47,4,November,2021-11
2021-11-24,24,11,2021,47,4,November,2021-11
2021-11-25,25,11,2021,47,4,November,2021-11
2021-11-26,26,11,2021,47,4,November,2021-11
2021-11-27,27,11,2021,47,4,November,2021-11
2021-11-28,28,11,2021,47,4,November,2021-11
2021-11-29,29,11,2021,48,4,November,2021-11
2021-11-30,30,11,2021,48,4,November,2021-11
2021-12-01,1,12,2021,48,4,December,2021-12
2021-12-02,2,12,2021,48,4,December,2021-12
2021-12-03,3,12,2021,48,4,December,2021-12
2021-12-04,4,12,2021,48,4,December,2021-12
2021-12-05,5,12,2021,48,4,December,2021-12
2021-12-06,6,12,2021,49,4,December,2021-12
2021-12-07,7,12,2021,49,4,December,2021-12
2021-12-08,8,12,2021,49,4,December,2021-12
2021-12-09,9,12,2021,49,4,December,2021-12
2021-12-10,10,12,2021,49,4,December,2021-12
2021-12-11,11,12,2021,49,4,December,2021-12
2021-12-12,12,12,2021,49,4,December,2021-12
2021-12-13,13,12,2021,50,4,December,2021-12
2021-12-14,14,12,2021,50,4,December,2021-12
2021-12-15,15,12,2021,50,4,December,2021-12
2021-12-16,16,12,2021,50,4,December,2021-12
2021-12-17,17,12,2021,50,4,December,2021-12
2021-12-18,18,12,2021,50,4,December,2021-12
2021-12-19,19,12,2021,50,4,December,2021-12
2021-12-20,20,12,2021,51,4,December,2021-12
2021-12-21,21,12,2021,51,4,December,2021-12
2021-12-22,22,12,2021,51,4,December,2021-12
2021-12-23,23,12,2021,51,4,December,2021-12
2021-12-24,24,12,2021,51,4,December,2021-12
2021-12-25,25,12,2021,51,4,December,2021-12
2021-12-26,26,12,2021,51,4,December,2021-12
2021-12-27,27,12,2021,52,4,December,2021-12
2021-12-28,28,12,2021,52,4,December,2021-12
2021-12-29,29,12,2021,52,4,December,2021-12
2021-12-30,30,12,2021,52,4,December,2021-12
2021-12-31,31,12,2021,52,4,December,2021-12
2022-01-01,1,1,2022,52,1,January,2022-01
2022-01-02,2,1,2022,52,1,January,2022-01
2022-01-03,3,1,2022,1,1,January,2022-01
2022-01-04,4,1,2022,1,1,January,2022-01
2022-01-05,5,1,2022,1,1,January,2022-01
2022-01-06,6,1,2022,1,1,January,2022-01
2022-01-07,7,1,2022,1,1,January,2022-01
2022-01-08,8,1,2022,1,1,January,2022-01
2022-01-09,9,1,2022,1,1,January,2022-01
2022-01-10,10,1,2022,2,1,January,2022-01
2022-01-11,11,1,2022,2,1,January,2022-01
2022-01-12,12,1,2022,2,1,January,2022-01
2022-01-13,13,1,2022,2,1,January,2022-01
2022-01-14,14,1,2022,2,1,January,2022-01
2022-01-15,15,1,2022,2,1,January,2022-01
2022-01-16,16,1,2022,2,1,January,2022-01
2022-01-17,17,1,2022,3,1,January,2022-01
2022-01-18,18,1,2022,3,1,January,2022-01
2022-01-19,19,1,2022,3,1,January,2022-01
2022-01-20,20,1,2022,3,1,January,2022-01
2022-01-21,21,1,2022,3,1,January,2022-01
2022-01-22,22,1,2022,3,1,January,2022-01
2022-01-23,23,1,2022,3,1,January,2022-01
2022-01-24,24,1,2022,4,1,January,2022-01
2022-01-25,25,1,2022,4,1,January,2022-01
2022-01-26,26,1,2022,4,1,January,2022-01
2022-01-27,27,1,2022,4,1,January,2022-01
2022-01-28,28,1,2022,4,1,January,2022-01
2022-01-29,29,1,2022,4,1,January,2022-01
2022-01-30,30,1,2022,4,1,January,2022-01
2022-01-31,31,1,2022,5,1,January,2022-01
2022-02-01,1,2,2022,5,1,February,2022-02
2022-02-02,2,2,2022,5,1,February,2022-02
2022-02-03,3,2,2022,5,1,February,2022-02
2022-02-04,4,2,2022,5,1,February,2022-02
2022-02-05,5,2,2022,5,1,February,2022-02
2022-02-06,6,2,2022,5,1,February,2022-02
2022-02-07,7,2,2022,6,1,February,2022-02
2022-02-08,8,2,2022,6,1,February,2022-02
2022-02-09,9,2,2022,6,1,February,2022-02
2022-02-10,10,2,2022,6,1,February,2022-02
2022-02-11,11,2,2022,6,1,February,2022-02
2022-02-12,12,2,2022,6,1,February,2022-02
2022-02-13,13,2,2022,6,1,February,2022-02
2022-02-14,14,2,2022,7,1,February,2022-02
2022-02-15,15,2,2022,7,1,February,2022-02
2022-02-16,16,2,2022,7,1,February,2022-02
2022-02-17,17,2,2022,7,1,February,2022-02
2022-02-18,18,2,2022,7,1,February,2022-02
2022-02-19,19,2,2022,7,1,February,2022-02
2022-02-20,20,2,2022,7,1,February,2022-02
2022-02-21,21,2,2022,8,1,February,2022-02
2022-02-22,22,2,2022,8,1,February,2022-02
2022-02-23,23,2,2022,8,1,February,2022-02
2022-02-24,24,2,2022,8,1,February,2022-02
2022-02-25,25,2,2022,8,1,February,2022-02
2022-02-26,26,2,2022,8,1,February,2022-02
2022-02-27,27,2,2022,8,1,February,2022-02
2022-02-28,28,2,2022,9,1,February,2022-02
2022-03-01,1,3,2022,9,1,March,2022-03
2022-03-02,2,3,2022,9,1,March,2022-03
2022-03-03,3,3,2022,9,1,March,2022-03
2022-03-04,4,3,2022,9,1,March,2022-03
2022-03-05,5,3,2022,9,1,March,2022-03
2022-03-06,6,3,2022,9,1,March,2022-03
2022-03-07,7,3,2022,10,1,March,2022-03
2022-03-08,8,3,2022,10,1,March,2022-03
2022-03-09,9,3,2022,10,1,March,2022-03
2022-03-10,10,3,2022,10,1,March,2022-03
2022-03-11,11,3,2022,10,1,March,2022-03
